instance_id,image_name
Avaiga__taipy-1042@a76a34b,ghcr.io/c-crab-benchmark/avaiga__taipy-1042
Lightning-AI__pytorch-lightning-4654@89b962d,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-4654
PrefectHQ__prefect-14313@d428713,ghcr.io/c-crab-benchmark/prefecthq__prefect-14313
PrefectHQ__prefect-18444@1ffae47,ghcr.io/c-crab-benchmark/prefecthq__prefect-18444
ansible__ansible-20646@f695114,ghcr.io/c-crab-benchmark/ansible__ansible-20646
ansible__ansible-27435@da1a331,ghcr.io/c-crab-benchmark/ansible__ansible-27435
ansible__ansible-33909@d516d5b,ghcr.io/c-crab-benchmark/ansible__ansible-33909
ansible__ansible-36996@4b45ffc,ghcr.io/c-crab-benchmark/ansible__ansible-36996
ansible__ansible-44951@91cfd5c,ghcr.io/c-crab-benchmark/ansible__ansible-44951
ansible__ansible-51415@fb988f5,ghcr.io/c-crab-benchmark/ansible__ansible-51415
ansible__ansible-54268@403b068,ghcr.io/c-crab-benchmark/ansible__ansible-54268
ansible__ansible-55379@060b0e9,ghcr.io/c-crab-benchmark/ansible__ansible-55379
ansible__ansible-56679@5e79e31,ghcr.io/c-crab-benchmark/ansible__ansible-56679
ansible__ansible-58383@531e457,ghcr.io/c-crab-benchmark/ansible__ansible-58383
ansible__ansible-59946@fbe8544,ghcr.io/c-crab-benchmark/ansible__ansible-59946
ansible__ansible-60622@19d2ad7,ghcr.io/c-crab-benchmark/ansible__ansible-60622
ansible__ansible-62373@30950ec,ghcr.io/c-crab-benchmark/ansible__ansible-62373
ansible__ansible-71136@621cec5,ghcr.io/c-crab-benchmark/ansible__ansible-71136
apache__airflow-16732@8ec4f26,ghcr.io/c-crab-benchmark/apache__airflow-16732
apache__airflow-26766@cf0c9a6,ghcr.io/c-crab-benchmark/apache__airflow-26766
apache__airflow-8749@161c96c,ghcr.io/c-crab-benchmark/apache__airflow-8749
certbot__certbot-7270@65f464e,ghcr.io/c-crab-benchmark/certbot__certbot-7270
certbot__certbot-9076@01f570d,ghcr.io/c-crab-benchmark/certbot__certbot-9076
conan-io__conan-16942@e62c6eb,ghcr.io/c-crab-benchmark/conan-io__conan-16942
cvat-ai__cvat-4062@ff04d8f,ghcr.io/c-crab-benchmark/cvat-ai__cvat-4062
dask__dask-7974@88a13f7,ghcr.io/c-crab-benchmark/dask__dask-7974
deepset-ai__haystack-1413@fc3b61a,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1413
deepset-ai__haystack-1604@78e9795,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1604
deepset-ai__haystack-3488@e07a8b3,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3488
deepset-ai__haystack-3546@a260299,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3546
deepset-ai__haystack-5284@60a39ef,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5284
deepset-ai__haystack-8457@2dd3777,ghcr.io/c-crab-benchmark/deepset-ai__haystack-8457
deepset-ai__haystack-92@accd8b1,ghcr.io/c-crab-benchmark/deepset-ai__haystack-92
frappe__frappe-13065@dfc23eb,ghcr.io/c-crab-benchmark/frappe__frappe-13065
getmoto__moto-7406@26efd90,ghcr.io/c-crab-benchmark/getmoto__moto-7406
getsentry__sentry-71711@d1652c4,ghcr.io/c-crab-benchmark/getsentry__sentry-71711
getsentry__sentry-71942@a4f03f3,ghcr.io/c-crab-benchmark/getsentry__sentry-71942
gradio-app__gradio-3275@067f582,ghcr.io/c-crab-benchmark/gradio-app__gradio-3275
home-assistant__core-110255@a9d173a,ghcr.io/c-crab-benchmark/home-assistant__core-110255
hpcaitech__ColossalAI-4080@dc82ade,ghcr.io/c-crab-benchmark/hpcaitech__colossalai-4080
hpcaitech__ColossalAI-6059@802df11,ghcr.io/c-crab-benchmark/hpcaitech__colossalai-6059
huggingface__accelerate-255@12e4b18,ghcr.io/c-crab-benchmark/huggingface__accelerate-255
huggingface__datasets-586@034c1c0,ghcr.io/c-crab-benchmark/huggingface__datasets-586
huggingface__diffusers-4015@c63a53a,ghcr.io/c-crab-benchmark/huggingface__diffusers-4015
huggingface__diffusers-792@90385bb,ghcr.io/c-crab-benchmark/huggingface__diffusers-792
iterative__dvc-2596@37847e7,ghcr.io/c-crab-benchmark/iterative__dvc-2596
jina-ai__serve-1256@2f495e3,ghcr.io/c-crab-benchmark/jina-ai__serve-1256
keephq__keep-100@6a8be21,ghcr.io/c-crab-benchmark/keephq__keep-100
keephq__keep-1984@e524fe8,ghcr.io/c-crab-benchmark/keephq__keep-1984
keephq__keep-3054@2d23bf3,ghcr.io/c-crab-benchmark/keephq__keep-3054
keephq__keep-4568@aaa03de,ghcr.io/c-crab-benchmark/keephq__keep-4568
marimo-team__marimo-4080@8a73f89,ghcr.io/c-crab-benchmark/marimo-team__marimo-4080
matplotlib__matplotlib-17892@cb25841,ghcr.io/c-crab-benchmark/matplotlib__matplotlib-17892
matplotlib__matplotlib-30199@b5dfb32,ghcr.io/c-crab-benchmark/matplotlib__matplotlib-30199
microsoft__autogen-2225@9cf65ed,ghcr.io/c-crab-benchmark/microsoft__autogen-2225
microsoft__autogen-4044@e5bddfc,ghcr.io/c-crab-benchmark/microsoft__autogen-4044
microsoft__autogen-5843@e07fb7a,ghcr.io/c-crab-benchmark/microsoft__autogen-5843
mlflow__mlflow-1658@3f53b0b,ghcr.io/c-crab-benchmark/mlflow__mlflow-1658
modin-project__modin-4215@69f9652,ghcr.io/c-crab-benchmark/modin-project__modin-4215
netbox-community__netbox-10171@249b8b0,ghcr.io/c-crab-benchmark/netbox-community__netbox-10171
netbox-community__netbox-7662@7c147db,ghcr.io/c-crab-benchmark/netbox-community__netbox-7662
networkx__networkx-4134@3b27fe2,ghcr.io/c-crab-benchmark/networkx__networkx-4134
networkx__networkx-4602@b2da108,ghcr.io/c-crab-benchmark/networkx__networkx-4602
networkx__networkx-5305@072b960,ghcr.io/c-crab-benchmark/networkx__networkx-5305
networkx__networkx-7159@7e65b7d,ghcr.io/c-crab-benchmark/networkx__networkx-7159
numba__numba-4282@a062e23,ghcr.io/c-crab-benchmark/numba__numba-4282
numpy__numpy-12123@1c2abd3,ghcr.io/c-crab-benchmark/numpy__numpy-12123
numpy__numpy-14924@6a7e3f1,ghcr.io/c-crab-benchmark/numpy__numpy-14924
numpy__numpy-15425@e603b5f,ghcr.io/c-crab-benchmark/numpy__numpy-15425
numpy__numpy-22997@8c57716,ghcr.io/c-crab-benchmark/numpy__numpy-22997
optuna__optuna-1087@4177569,ghcr.io/c-crab-benchmark/optuna__optuna-1087
optuna__optuna-972@1f4813a,ghcr.io/c-crab-benchmark/optuna__optuna-972
pandas-dev__pandas-42186@62d46c4,ghcr.io/c-crab-benchmark/pandas-dev__pandas-42186
pandas-dev__pandas-42635@59d4145,ghcr.io/c-crab-benchmark/pandas-dev__pandas-42635
pandas-dev__pandas-43930@fef88a7,ghcr.io/c-crab-benchmark/pandas-dev__pandas-43930
pandas-dev__pandas-50366@1e7613f,ghcr.io/c-crab-benchmark/pandas-dev__pandas-50366
pandas-dev__pandas-55938@b36d8d1,ghcr.io/c-crab-benchmark/pandas-dev__pandas-55938
pydantic__pydantic-11468@92c01bd,ghcr.io/c-crab-benchmark/pydantic__pydantic-11468
pyg-team__pytorch_geometric-4635@498dbbf,ghcr.io/c-crab-benchmark/pyg-team__pytorch_geometric-4635
python-poetry__poetry-4985@b350568,ghcr.io/c-crab-benchmark/python-poetry__poetry-4985
python-telegram-bot__python-telegram-bot-3514@d5c0a5c,ghcr.io/c-crab-benchmark/python-telegram-bot__python-telegram-bot-3514
python-telegram-bot__python-telegram-bot-4168@96ca73d,ghcr.io/c-crab-benchmark/python-telegram-bot__python-telegram-bot-4168
python__cpython-104029@f78e70e,ghcr.io/c-crab-benchmark/python__cpython-104029
python__mypy-14517@78b0f55,ghcr.io/c-crab-benchmark/python__mypy-14517
python__mypy-15353@65efb01,ghcr.io/c-crab-benchmark/python__mypy-15353
python__mypy-6781@3a824fb,ghcr.io/c-crab-benchmark/python__mypy-6781
python__mypy-6803@8e6a9b8,ghcr.io/c-crab-benchmark/python__mypy-6803
python__mypy-9629@13dc4d2,ghcr.io/c-crab-benchmark/python__mypy-9629
pytorch__vision-8316@92ec2fb,ghcr.io/c-crab-benchmark/pytorch__vision-8316
qutebrowser__qutebrowser-3590@872cff2,ghcr.io/c-crab-benchmark/qutebrowser__qutebrowser-3590
qutebrowser__qutebrowser-7003@3656345,ghcr.io/c-crab-benchmark/qutebrowser__qutebrowser-7003
ray-project__ray-49918@04cf1ee,ghcr.io/c-crab-benchmark/ray-project__ray-49918
run-llama__llama_index-13413@63620ed,ghcr.io/c-crab-benchmark/run-llama__llama_index-13413
scikit-learn__scikit-learn-29401@819e167,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-29401
scikit-learn__scikit-learn-29442@3a19575,ghcr.io/c-crab-benchmark/scikit-learn__scikit-learn-29442
scipy__scipy-20393@c92a476,ghcr.io/c-crab-benchmark/scipy__scipy-20393
scrapy__scrapy-2456@c7bb2fa,ghcr.io/c-crab-benchmark/scrapy__scrapy-2456
skypilot-org__skypilot-1144@36893af,ghcr.io/c-crab-benchmark/skypilot-org__skypilot-1144
