instance_id,repo,primary_image,primary_exists_locally,fallback_image,fallback_exists_locally,selected_image,selected_source,selected_image_runnable,selected_image_id,selected_repo_tags,selected_repo_digests
Avaiga__taipy-1042@a76a34b,Avaiga/taipy,reviewbench/avaiga__taipy-1042,False,ghcr.io/c-crab-benchmark/avaiga__taipy-1042,True,ghcr.io/c-crab-benchmark/avaiga__taipy-1042,fallback,,sha256:27ee6cd879a94d430bf48296689890ca71b7b8fa6c10bc16b59d57a431a10d43,ghcr.io/c-crab-benchmark/avaiga__taipy-1042:latest,ghcr.io/c-crab-benchmark/avaiga__taipy-1042@sha256:89656090030ceb8e97117ff1ee48add8f0afc92af305c6c1bd4b82ac55592d67
Avaiga__taipy-833@24559da,Avaiga/taipy,reviewbench/avaiga__taipy-833,True,ghcr.io/c-crab-benchmark/avaiga__taipy-833,False,reviewbench/avaiga__taipy-833,primary,,sha256:5e490a64761dcf33009ce6861d84b82faa3140d9fb65618da7891b645d5653d0,reviewbench/avaiga__taipy-833:latest,
Lightning-AI__pytorch-lightning-4654@89b962d,Lightning-AI/pytorch-lightning,reviewbench/lightning-ai__pytorch-lightning-4654,False,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-4654,True,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-4654,fallback,,sha256:91e1e71a7284914f59ee01bb80ff82552a481bbe4792a347198cc85289378449,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-4654:latest,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-4654@sha256:3567e0e2ebd31273d2098e056de5c83539877e18021352fedd5c6545089d4365
Lightning-AI__pytorch-lightning-7351@7b3f48d,Lightning-AI/pytorch-lightning,reviewbench/lightning-ai__pytorch-lightning-7351,True,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-7351,False,reviewbench/lightning-ai__pytorch-lightning-7351,primary,,sha256:db8156b5d83420deabac56e05f8573259d3277b8baf57052dff42b9c65009973,reviewbench/lightning-ai__pytorch-lightning-7351:latest,
Lightning-AI__pytorch-lightning-866@5a0ccf4,Lightning-AI/pytorch-lightning,reviewbench/lightning-ai__pytorch-lightning-866,True,ghcr.io/c-crab-benchmark/lightning-ai__pytorch-lightning-866,False,reviewbench/lightning-ai__pytorch-lightning-866,primary,,sha256:453366f7ced7cdc2b344e0dde82b55a28920f6aed40d899dfd21d3485d62d052,reviewbench/lightning-ai__pytorch-lightning-866:latest,
OpenMined__PySyft-5385@0af54a4,OpenMined/PySyft,reviewbench/openmined__pysyft-5385,True,ghcr.io/c-crab-benchmark/openmined__pysyft-5385,False,reviewbench/openmined__pysyft-5385,primary,,sha256:916d07efa21e827af678f8572c108f512d69bc2453ccd7fa38985e87b8c6cbc1,reviewbench/openmined__pysyft-5385:latest,
OpenMined__PySyft-5452@2b1416a,OpenMined/PySyft,reviewbench/openmined__pysyft-5452,True,ghcr.io/c-crab-benchmark/openmined__pysyft-5452,False,reviewbench/openmined__pysyft-5452,primary,,sha256:79c44b8da436cf3967c8457fe1f8e5683ac12201405c3b6b4214ba6eaf6dcfca,reviewbench/openmined__pysyft-5452:latest,
PrefectHQ__prefect-14313@d428713,PrefectHQ/prefect,reviewbench/prefecthq__prefect-14313,False,ghcr.io/c-crab-benchmark/prefecthq__prefect-14313,True,ghcr.io/c-crab-benchmark/prefecthq__prefect-14313,fallback,,sha256:c29232cacc8e1c8c2f475b883fb48020d95294977f1e188e8cf5e6b73d09333a,ghcr.io/c-crab-benchmark/prefecthq__prefect-14313:latest,ghcr.io/c-crab-benchmark/prefecthq__prefect-14313@sha256:a6aed9efacc64a58ae973b12ef52834558af64619a7d2ff83bdca88da0097509
PrefectHQ__prefect-14392@aac04aa,PrefectHQ/prefect,reviewbench/prefecthq__prefect-14392,True,ghcr.io/c-crab-benchmark/prefecthq__prefect-14392,False,reviewbench/prefecthq__prefect-14392,primary,,sha256:23aed70480d581c9f1292414f67214b24bcef18198995fab02d372c709545174,reviewbench/prefecthq__prefect-14392:latest,
PrefectHQ__prefect-18444@1ffae47,PrefectHQ/prefect,reviewbench/prefecthq__prefect-18444,False,ghcr.io/c-crab-benchmark/prefecthq__prefect-18444,True,ghcr.io/c-crab-benchmark/prefecthq__prefect-18444,fallback,,sha256:bc8511275b7c6c30f5e1a5a90371a849f2ab84327a1f1b003d01423ccfc2ea45,ghcr.io/c-crab-benchmark/prefecthq__prefect-18444:latest,ghcr.io/c-crab-benchmark/prefecthq__prefect-18444@sha256:acc3e448a9ad564f51c96e61ea4ebf928d663e68302dcbde2c5ebfb7813445f2
ansible__ansible-20646@f695114,ansible/ansible,reviewbench/ansible__ansible-20646,False,ghcr.io/c-crab-benchmark/ansible__ansible-20646,True,ghcr.io/c-crab-benchmark/ansible__ansible-20646,fallback,,sha256:b72bb1f083ced375f7b2141cce124550d4c2ad577cfe7375f043fec49e46b494,ghcr.io/c-crab-benchmark/ansible__ansible-20646:latest,ghcr.io/c-crab-benchmark/ansible__ansible-20646@sha256:f2bc1d6bb46a8a5d2952d2757cfeba90a2fde36e3cda50e54f68e10af09a2f14
ansible__ansible-27435@da1a331,ansible/ansible,reviewbench/ansible__ansible-27435,False,ghcr.io/c-crab-benchmark/ansible__ansible-27435,True,ghcr.io/c-crab-benchmark/ansible__ansible-27435,fallback,,sha256:cc23324c898965536eafa0926c085dc315cb65658d883f75f40bede20cf44579,ghcr.io/c-crab-benchmark/ansible__ansible-27435:latest,ghcr.io/c-crab-benchmark/ansible__ansible-27435@sha256:45bd54227fee8f4d6c1270f150259773a32e5b5b1f72954fcbc8130024186120
ansible__ansible-33909@d516d5b,ansible/ansible,reviewbench/ansible__ansible-33909,False,ghcr.io/c-crab-benchmark/ansible__ansible-33909,True,ghcr.io/c-crab-benchmark/ansible__ansible-33909,fallback,,sha256:179c34417c40ad964deb0b71c6ac58982beae4db6c4dd01a67eade31fad7f37a,ghcr.io/c-crab-benchmark/ansible__ansible-33909:latest,ghcr.io/c-crab-benchmark/ansible__ansible-33909@sha256:10f9a315a96b64acb290da96e573cf22d319bd11c003ff39ee0a5141d5bc910a
ansible__ansible-36494@c514aeb,ansible/ansible,reviewbench/ansible__ansible-36494,True,ghcr.io/c-crab-benchmark/ansible__ansible-36494,True,reviewbench/ansible__ansible-36494,primary,,sha256:d42716b67f3ac7cbf5d124046bcd06a97f1132c75a69f8dcf5fe8c7ab9d7fedf,reviewbench/ansible__ansible-36494:latest;ghcr.io/c-crab-benchmark/ansible__ansible-36494:latest,
